year,amoc_true,amoc_pred,is_used,is_train,is_test,split_year,alpha,test_r2,model,target,mode,features
1961,18.56439971923828,-0.04361999963853857,True,True,False,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1962,18.54525375366211,-0.13535816603174886,True,True,False,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1963,18.571073532104492,-0.13706479249870732,True,True,False,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1964,18.352399826049805,-0.01604844852092157,True,True,False,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1965,18.53154945373535,-0.10472897751932785,True,True,False,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1966,18.355913162231445,-0.07844380409134262,True,True,False,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1967,18.655866622924805,-0.09207344310322642,True,True,False,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1968,18.364545822143555,-0.08593777652769849,True,True,False,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1969,18.693906784057617,0.010053719225136527,True,True,False,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1970,18.74458885192871,0.036267393700772456,True,True,False,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1971,18.693538665771484,-0.015723935989095345,True,True,False,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1972,18.629064559936523,-0.0365971485979264,True,True,False,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1973,18.490480422973633,0.012358539218770637,True,True,False,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1974,18.80561065673828,-0.07073731339551567,True,True,False,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1975,18.441308975219727,-0.014759892397211318,True,True,False,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1976,18.587547302246094,-0.0876564969665767,True,True,False,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1977,18.593008041381836,-0.04179131724150364,True,True,False,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1978,18.742868423461914,-0.06297207112961827,True,True,False,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
