var,mode,lag,corr,abs_corr
thetao,7,1,-0.27848723257698615,0.27848723257698615
thetao,7,0,-0.2774557230350724,0.2774557230350724
so,4,9,-0.2771795902128053,0.2771795902128053
thetao,7,2,-0.2747568487027986,0.2747568487027986
thetao,7,20,0.2747238337327181,0.2747238337327181
so,4,13,-0.2733467095120397,0.2733467095120397
thetao,9,6,0.2710017571013061,0.2710017571013061
thetao,10,18,-0.2704498370096381,0.2704498370096381
thetao,9,11,0.27015987762684435,0.27015987762684435
so,4,17,-0.2687623847444833,0.2687623847444833
so,4,8,-0.2667853103769787,0.2667853103769787
so,8,5,-0.26550875302036625,0.26550875302036625
so,6,14,0.26387002450389074,0.26387002450389074
so,4,5,-0.2630624982359816,0.2630624982359816
so,4,4,-0.2589936198697218,0.2589936198697218
so,9,19,0.2582665401575757,0.2582665401575757
so,7,9,-0.25811565494910116,0.25811565494910116
thetao,4,1,-0.25705254548675444,0.25705254548675444
thetao,9,0,0.2559268890633954,0.2559268890633954
thetao,9,13,0.25546436904097486,0.25546436904097486
thetao,7,18,0.25512969404422736,0.25512969404422736
thetao,7,16,0.2534763109704946,0.2534763109704946
thetao,7,19,0.25155275956641454,0.25155275956641454
so,4,3,-0.24857785765376245,0.24857785765376245
so,9,20,0.2476658340393703,0.2476658340393703
thetao,9,5,0.24694322377963193,0.24694322377963193
thetao,9,14,0.24681595626265704,0.24681595626265704
thetao,9,4,0.24648385760996186,0.24648385760996186
thetao,9,2,0.24596144918811066,0.24596144918811066
thetao,7,17,0.24399637273589503,0.24399637273589503
thetao,9,1,0.2431218206464538,0.2431218206464538
so,4,18,-0.2410554782310562,0.2410554782310562
thetao,9,17,0.2409650999065517,0.2409650999065517
so,2,2,-0.24031167091951205,0.24031167091951205
thetao,9,16,0.2401496466098026,0.2401496466098026
so,4,7,-0.2395836518595092,0.2395836518595092
so,4,6,-0.23940401402405553,0.23940401402405553
thetao,9,15,0.2393479173917767,0.2393479173917767
thetao,9,18,0.23798867138914617,0.23798867138914617
thetao,9,12,0.23789639462720458,0.23789639462720458
so,8,4,-0.23538651053529192,0.23538651053529192
thetao,9,3,0.23495700385811186,0.23495700385811186
thetao,9,20,0.23107397115354233,0.23107397115354233
thetao,10,19,-0.22500010536987397,0.22500010536987397
so,7,8,-0.22425089969263606,0.22425089969263606
so,6,15,0.2202218557444131,0.2202218557444131
so,4,19,-0.21915813595048844,0.21915813595048844
thetao,7,3,-0.2170731422739362,0.2170731422739362
thetao,9,19,0.21253376679328892,0.21253376679328892
so,2,20,0.20736840446027027,0.20736840446027027
so,2,1,-0.20622759224971388,0.20622759224971388
so,2,3,-0.20527066488996393,0.20527066488996393
so,4,20,-0.20317573715274928,0.20317573715274928
thetao,7,15,0.19769085838713452,0.19769085838713452
thetao,4,13,0.19675751704751543,0.19675751704751543
thetao,10,20,-0.1954167597777973,0.1954167597777973
thetao,7,13,0.19427460268170946,0.19427460268170946
so,7,7,-0.1926194227093951,0.1926194227093951
thetao,7,14,0.1914158069108237,0.1914158069108237
thetao,4,2,-0.18842514464724322,0.18842514464724322
thetao,4,14,0.18403628595299443,0.18403628595299443
so,7,5,-0.18320800224155445,0.18320800224155445
thetao,4,12,0.18167046048924226,0.18167046048924226
so,5,1,-0.18062517007895815,0.18062517007895815
so,8,0,-0.17648275697775018,0.17648275697775018
so,2,18,0.17592186847381056,0.17592186847381056
so,4,0,-0.17411004391370083,0.17411004391370083
so,4,2,-0.17329799455451092,0.17329799455451092
so,2,4,-0.17211859743146715,0.17211859743146715
so,8,1,-0.172110972312092,0.172110972312092
so,7,6,-0.1677690397541976,0.1677690397541976
so,2,17,0.16773083593269952,0.16773083593269952
so,8,3,-0.16518326925018179,0.16518326925018179
thetao,7,12,0.16412377481032595,0.16412377481032595
so,2,13,0.16320696610339444,0.16320696610339444
