member,best_N,best_W,best_alpha,max_lag_used,n_features_used,train_r2,train_corr,train_var_ratio,test_r2,test_corr,test_var_ratio,test_r2_anom,test_corr_anom,test_var_ratio_anom,late_r2,late_corr,late_var_ratio,late_r2_anom,late_corr_anom,late_var_ratio_anom
20,5,0,1000.0,1,5,0.6568891952236554,0.8104870111381521,0.8104870111381525,-1.0220586649070271,0.7774782440125788,1.0837001534045207,0.5107005621212367,0.777478244012579,1.0837001534045207,-2.41637004348886,0.6978403227832473,0.8181730019755886,0.4725011624206194,0.6978403227832473,0.8181730019755886
21,5,0,100.0,3,5,0.5329866458714476,0.7300593440751563,0.7300593440751569,0.3028742817508996,0.7854496752186672,0.3909351966046298,0.461289518465004,0.7854496752186672,0.3909351966046298,0.0594822145243001,0.6521935692859304,0.5009582753562565,0.402484337687927,0.6521935692859306,0.5009582753562565
22,5,0,1000.0,3,5,0.4723183028969379,0.687254176340121,0.6872541763401228,-1.4985137466202598,0.4400065647495191,0.8973687320441346,-0.015574375049755,0.4400065647495191,0.8973687320441344,-3.357733924622805,0.6651028299047801,0.4165419775393075,0.3805792770186964,0.6651028299047801,0.4165419775393075
23,5,0,300.0,2,5,0.4657519169821523,0.6824601944305267,0.6824601944305275,0.0114146530845453,0.443431449812519,0.7364065359611879,0.1107970495790122,0.443431449812519,0.736406535961188,-0.2753926686470398,-0.0846760674634111,0.4413975229666332,-0.2695833861468901,-0.0846760674634111,0.4413975229666332
24,5,0,1000.0,7,5,0.6054532112768573,0.7781087400080129,0.7781087400080113,0.3492413442777392,0.7339878952610981,0.5810090118783983,0.515335691628799,0.7339878952610981,0.5810090118783983,-0.3659345158139919,0.7995036294056641,0.7509351940330367,0.6368471605182842,0.799503629405664,0.7509351940330367
25,10,0,100.0,4,10,0.4885944300253716,0.698995300431535,0.698995300431535,0.0283039275414781,0.6804351601030567,0.4350105187529194,0.4027587525226291,0.6804351601030569,0.4350105187529193,0.1415903553073514,0.6992386206047104,0.5553071419150154,0.4682183779873763,0.6992386206047105,0.5553071419150154
26,5,0,1000.0,2,5,0.5337379088497587,0.7305736847503876,0.7305736847503872,0.0193018378761782,0.5909401853565609,0.8973736477263586,0.2553088358093042,0.5909401853565609,0.8973736477263587,-0.5927747762652524,0.5256968674775621,0.6405267406158153,0.2631712967107742,0.5256968674775622,0.6405267406158153
27,5,0,100.0,0,5,0.6769311308617869,0.8227582456966241,0.8227582456966248,-0.8050497577776186,0.3131722798120189,0.5986028103686931,0.0166062890687925,0.3131722798120189,0.5986028103686932,-0.4500619963612975,0.4222472038420405,0.5223705996227127,0.1682680067697688,0.4222472038420405,0.5223705996227126
28,15,1,10.0,10,26,0.6963623282010576,0.8344832701744577,0.8344832701744579,-0.2394386995303405,0.0951579145527394,0.5739654202290637,-0.2202015987899568,0.0951579145527394,0.5739654202290636,-1.1708701701240185,0.4164631249033061,0.9127545925096558,-0.0728636864146372,0.4164631249033061,0.9127545925096556
29,5,0,1000.0,0,5,0.4849078543784595,0.6963532540158479,0.696353254015848,0.1356212622738484,0.3816913134848264,0.4777703276057134,0.1364570818353303,0.3816913134848265,0.4777703276057133,-0.0309150111115086,0.4924048594991818,0.4518664157316505,0.2408191802353154,0.4924048594991817,0.4518664157316505
30,5,1,30.0,5,11,0.5458471164006689,0.7388146698602224,0.7388146698602223,0.0738689992706492,0.827997960573293,0.3873141729893641,0.4913784220742152,0.827997960573293,0.387314172989364,-0.2333976114941802,0.0458180717828281,0.486822170695066,-0.1923853195554981,0.045818071782828,0.4868221706950659
31,5,0,300.0,3,5,0.6056581462101756,0.7782404167159237,0.7782404167159238,0.371559540684185,0.6284641198624761,0.7675878332949213,0.3756117423152836,0.6284641198624762,0.7675878332949214,-1.1667200156005406,0.245455693169689,1.1435151768432257,-0.7462623389065668,0.2454556931696889,1.1435151768432257
32,15,0,100.0,10,15,0.6378790466191733,0.7986733040606612,0.798673304060661,0.0198802677800964,0.2282606275838841,0.1519205091910817,0.0462751004287618,0.2282606275838841,0.1519205091910817,0.2062754347690435,0.6952139766763722,0.1967296371291945,0.2348358365923893,0.6952139766763721,0.1967296371291945
