rank,feature_index,feature,coef_std,abscoef_std,cluster_size,cluster_root
132,1282,thetao W10p0 EOF3 lag24,0.02025126935260659,0.02025126935260659,1,1282
133,198,thetao W60p0 EOF9 lag19,-0.02009743848791483,0.02009743848791483,1,198
134,2048,so W30p0 EOF9 lag22,0.020095251485664097,0.020095251485664097,1,2048
135,1306,so W60p0 EOF7 lag0,-0.020083091822910668,0.020083091822910668,1,1306
136,2082,so W20p0 EOF3 lag0,0.020029817064144338,0.020029817064144338,1,2082
137,515,thetao W40p0 EOF6 lag25,0.019943361310483437,0.019943361310483437,1,515
138,1267,thetao W10p0 EOF8 lag22,0.019879541043771,0.019879541043771,1,1267
139,1292,thetao W10p0 EOF3 lag25,0.019878490195483208,0.019878490195483208,1,1292
140,1345,so W60p0 EOF6 lag4,0.019862061494652368,0.019862061494652368,1,1345
141,1882,so W30p0 EOF3 lag6,0.019822475468539626,0.019822475468539626,1,1882
142,2599,so W10p0 EOF10 lag25,0.019740778162342293,0.019740778162342293,1,2599
143,766,thetao W30p0 EOF7 lag24,0.019688469976292134,0.019688469976292134,1,766
144,2139,so W20p0 EOF10 lag5,-0.01967381655866368,0.01967381655866368,1,2139
145,561,thetao W30p0 EOF2 lag4,0.019579711701345568,0.019579711701345568,1,561
146,1216,thetao W10p0 EOF7 lag17,-0.01956363155930859,0.01956363155930859,1,1216
147,1729,so W40p0 EOF10 lag16,-0.019563291569711032,0.019563291569711032,1,1729
148,1408,so W60p0 EOF9 lag10,0.019506554748589377,0.019506554748589377,1,1408
149,2469,so W10p0 EOF10 lag12,0.0194659514604957,0.0194659514604957,1,2469
150,1862,so W30p0 EOF3 lag4,0.01944286294867436,0.01944286294867436,1,1862
151,2108,so W20p0 EOF9 lag2,0.019436115292488367,0.019436115292488367,1,2108
152,1277,thetao W10p0 EOF8 lag23,0.01936781310968058,0.01936781310968058,1,1277
153,958,thetao W20p0 EOF9 lag17,-0.019335002436796204,0.019335002436796204,1,958
154,1194,thetao W10p0 EOF5 lag15,-0.019330795661347693,0.019330795661347693,1,1194
155,1866,so W30p0 EOF7 lag4,-0.019261857889018724,0.019261857889018724,1,1866
156,278,thetao W40p0 EOF9 lag1,0.01917190585263131,0.01917190585263131,1,278
157,1572,so W40p0 EOF3 lag1,-0.019165028135453347,0.019165028135453347,1,1572
158,117,thetao W60p0 EOF8 lag11,0.019143685392060694,0.019143685392060694,1,117
159,1600,so W40p0 EOF1 lag4,-0.019112751632482966,0.019112751632482966,1,1600
160,1249,thetao W10p0 EOF10 lag20,0.019061292846681663,0.019061292846681663,1,1249
161,526,thetao W30p0 EOF7 lag0,0.01892904883030915,0.01892904883030915,1,526
162,1332,so W60p0 EOF3 lag3,0.018893958365836665,0.018893958365836665,1,1332
163,2112,so W20p0 EOF3 lag3,-0.018889414745270134,0.018889414745270134,1,2112
164,810,thetao W20p0 EOF1 lag3,0.018887579982175166,0.018887579982175166,1,810
165,271,thetao W40p0 EOF2 lag1,0.018808815030197934,0.018808815030197934,26,261
166,1342,so W60p0 EOF3 lag4,0.018760005899976465,0.018760005899976465,1,1342
167,1097,thetao W10p0 EOF8 lag5,-0.018754574625091083,0.018754574625091083,1,1097
168,1916,so W30p0 EOF7 lag9,-0.018741369851394477,0.018741369851394477,1,1916
169,162,thetao W60p0 EOF3 lag16,-0.01874032547122131,0.01874032547122131,1,162
170,1759,so W40p0 EOF10 lag19,-0.018645820240682946,0.018645820240682946,1,1759
