N_seeds,W,alpha,mean_val_r2,std_val_r2,mean_val_corr,mean_val_var_ratio,mean_n_features,mean_max_lag,n_folds_used
5,3,100000.0,-1.8129722426412767,2.332793981935885,0.18741171732661482,0.0024322431110384195,22.0,23.0,4
15,0,100000.0,-1.814122339989851,2.3951609598349752,0.12095131907464628,0.001848233591382174,15.0,21.5,4
5,1,100000.0,-1.8163634702751674,2.401940440905821,0.18487520769072066,0.0016720803126458236,11.25,21.25,4
20,1,10.0,-1.8354731478777246,0.818061579358428,0.14056973659375527,0.7610524008315924,40.25,23.5,4
10,0,100000.0,-1.8414571525712993,2.396182385510852,0.179719171117862,0.0013602482755990495,10.0,20.5,4
5,0,100000.0,-1.8575483331579024,2.421388452225684,0.13722565767062794,0.0009312415643928551,5.0,20.25,4
20,3,10.0,-1.943739883105689,1.295861337589111,0.05222658917412272,0.7643010044249647,76.0,24.75,4
40,2,0.1,-1.9587459758616488,1.5728335920759022,0.09956147922849162,1.1334737162472464,99.75,25.0,4
30,2,0.1,-2.072122598649134,1.1659807981374575,0.15748473545039154,1.05324061421832,82.0,25.0,4
20,2,10.0,-2.09776942816153,1.475835744810394,0.1471310283021638,0.7631371173639628,59.5,24.25,4
50,1,1.0,-2.10282416543603,1.9676843472059793,0.15676132557281713,0.8839800792347108,87.5,25.0,4
15,0,1.0,-2.1508382596920383,1.694421026268194,0.013555827278113063,0.6231014183595828,15.0,21.5,4
40,0,1.0,-2.229303798116501,1.92494268632779,0.3157644426738285,1.1012781214053173,40.0,24.75,4
10,3,0.1,-2.2673756133063105,0.5276324646794938,0.11631009948321638,1.107482959179765,44.25,23.25,4
5,0,0.1,-2.347601427195649,2.7080183811327383,0.10026825271780956,0.6309094580843231,5.0,20.25,4
15,3,1.0,-2.3483927036348646,1.6389966583749338,0.08949526038049786,0.9978519989148474,59.5,23.75,4
5,0,0.01,-2.4597780497514026,2.893658286992086,0.09906390154491937,0.6372711541784054,5.0,20.25,4
5,0,0.001,-2.4716511075184573,2.913362770159598,0.09894243723302104,0.6379367013876664,5.0,20.25,4
5,0,0.0001,-2.4728453198967997,2.9153452362974126,0.0989302804470907,0.6380035626583545,5.0,20.25,4
30,3,1.0,-2.534870874534476,2.2342679091576643,0.0676751942404429,0.9942092842966463,103.75,25.0,4
50,2,0.1,-2.549149273113497,3.1680545281872217,-0.0005090750464131558,0.8936000105976942,121.25,25.0,4
5,2,1.0,-2.636411845006879,1.6599053005816202,0.10934655471080879,0.8225521305076363,17.25,22.25,4
40,0,0.1,-2.680546387022752,2.069895884188441,0.31737632155141093,1.3242684929491977,40.0,24.75,4
50,1,0.1,-2.760049800875735,1.6621227233604687,0.11512656394756114,1.0923806766881388,87.5,25.0,4
5,3,1.0,-2.8613883830162083,2.209356141480748,0.10261374433315333,1.0318279934267336,22.0,23.0,4
10,3,1.0,-2.915147172830216,2.4050144882791056,0.12791164237842412,1.0672201117910174,44.25,23.25,4
40,1,1.0,-2.941420782575411,2.00610717222466,0.1470092638934748,0.8944190501508215,71.75,25.0,4
10,1,1.0,-2.9477754668634946,2.1349265949902434,0.03440745251791392,0.9449137456018437,22.5,21.5,4
40,0,0.01,-2.9746883801277595,2.2596834100591887,0.31767605245151304,1.4046542982998056,40.0,24.75,4
50,2,0.01,-3.0012423075341004,3.770085815028189,-0.01706917785315437,0.9489022504271634,121.25,25.0,4
50,1,0.01,-3.024884196304753,1.6423982135344857,0.034001948386339284,1.3816576530230948,87.5,25.0,4
50,2,0.001,-3.0560883405352763,3.842029813358765,-0.01878108088464684,0.9554370502792134,121.25,25.0,4
50,2,0.0001,-3.0616882699444927,3.849362418025878,-0.018952696229240125,0.9561026250527136,121.25,25.0,4
10,2,1.0,-3.1996392907614313,1.1107858672977127,0.09085092986681867,0.9476694938824786,34.25,22.5,4
30,1,1.0,-3.2963806715215966,2.2573866491567385,0.18405448587468162,1.0344295087632946,57.25,24.75,4
15,3,0.1,-3.4436538568292594,2.2394818710432087,0.04466543394256622,1.1863534278810177,59.5,23.75,4
20,0,1.0,-3.6399148006922255,2.4733165837837054,0.12436651285612718,0.8546209844854308,20.0,22.75,4
10,1,0.1,-3.703261203295204,2.8674011502524563,0.005785171757568375,1.2794431144640463,22.5,21.5,4
40,2,0.01,-3.710795053050262,4.056088817989305,0.08009307216352901,1.4478386421613045,99.75,25.0,4
30,3,0.0001,-3.739440921240103,4.453759092627973,0.0637382605878161,1.5516981507267542,103.75,25.0,4
15,3,0.01,-3.754305213056682,2.413377153679812,0.03256725320266662,1.2308116677172078,59.5,23.75,4
30,1,0.1,-3.7848082425089027,1.9643224293559187,0.1564029004777857,1.3017083850223397,57.25,24.75,4
15,3,0.001,-3.792812975272348,2.4337238251047175,0.03100432930683248,1.2362646114682203,59.5,23.75,4
15,3,0.0001,-3.796766263955624,2.4357853341191014,0.030842673588935634,1.2368251214995698,59.5,23.75,4
20,3,1.0,-3.8487319230933195,2.45009138058428,0.03321029059462759,1.072785977527135,76.0,24.75,4
15,0,0.1,-3.8757736065356454,4.337813979225597,0.005889792254590527,0.7651419991121791,15.0,21.5,4
30,1,0.01,-4.059264631722498,1.8139874740197692,0.11438216489195413,1.5474396305769846,57.25,24.75,4
5,3,0.1,-4.089568212313597,2.8150296049437857,0.0868234413479338,1.2233303217287375,22.0,23.0,4
50,0,1.0,-4.159505397400665,3.4130603943162017,0.1788964163288719,0.9227148291441607,50.0,25.0,4
10,0,0.1,-4.169741793797175,5.965808406962669,0.014001677229347892,0.7018754985027446,10.0,20.5,4
40,1,0.01,-4.174169799511588,2.301114589708803,0.1586870750696276,1.2010808667707438,71.75,25.0,4
30,3,0.001,-4.248554495075542,5.331069746824417,0.0401816810964321,1.469918945031539,103.75,25.0,4
10,2,0.1,-4.248732991227978,2.220012970703351,0.11905743436313683,1.1175648356839651,34.25,22.5,4
15,1,1.0,-4.316123207407619,2.191007830244871,0.05578097969652082,1.065312612163522,31.0,22.25,4
20,1,1.0,-4.367930143826945,1.6782703582271354,0.11115993991822341,1.1929300278121089,40.25,23.5,4
