N_seeds,W,alpha,mean_val_r2,std_val_r2,mean_val_corr,mean_val_var_ratio,mean_n_features,mean_max_lag,n_folds_used,gap_used,trim_val_start_by,y_transform,pc_transform,score
5,1,0.0001,-0.9072053995452599,0.6104801326213064,0.331518804555838,0.9378126363333785,10.666666666666666,15.0,6,0,maxlag,detrend,detrend,0.28798764998920295
5,1,0.0003,-0.9072065740248739,0.6104812748254014,0.3315180744527793,0.93781054181514,10.666666666666666,15.0,6,0,maxlag,detrend,detrend,0.2879854537233773
5,1,0.001,-0.9072106903563334,0.6104852658757978,0.33151551433937704,0.9378032150500765,10.666666666666666,15.0,6,0,maxlag,detrend,detrend,0.28797776487443055
5,1,0.003,-0.9072224993375796,0.6104966122993631,0.33150815939205547,0.9377823160478082,10.666666666666666,15.0,6,0,maxlag,detrend,detrend,0.2879557806255212
5,1,0.01,-0.9072643752693063,0.610535685272886,0.3314819616627182,0.9377095698022065,10.666666666666666,15.0,6,0,maxlag,detrend,detrend,0.2878786605242628
5,1,0.03,-0.9073883106674684,0.6106423261876818,0.3314035675205283,0.9375050653437761,10.666666666666666,15.0,6,0,maxlag,detrend,detrend,0.28765711326117155
5,1,0.1,-0.9078605347005367,0.6109719504262621,0.3310988717506444,0.936825090204311,10.666666666666666,15.0,6,0,maxlag,detrend,detrend,0.2868764348936621
5,1,0.3,-0.9093759922798164,0.6117354909876801,0.3301205619322874,0.9351253549315408,10.666666666666666,15.0,6,0,maxlag,detrend,detrend,0.28470831038436595
10,0,0.0001,-0.7499760524462721,0.8310992447534509,0.38385625411201524,0.8542116937354981,10.0,16.0,6,0,maxlag,detrend,detrend,0.2818044397268639
10,0,0.0003,-0.7499738472234272,0.8310952391339318,0.38385552982998505,0.8542090995218635,10.0,16.0,6,0,maxlag,detrend,detrend,0.28180189949528955
10,0,0.001,-0.749966129925073,0.8310812240405643,0.38385299529179057,0.8542000243354946,10.0,16.0,6,0,maxlag,detrend,detrend,0.2817930123266368
10,0,0.003,-0.749944088950758,0.8310412200014747,0.38384575758858946,0.8541741342286239,10.0,16.0,6,0,maxlag,detrend,detrend,0.28176765154862615
