n_features,maxlag_used,overall_r2,overall_corr,delta_r2,calib_a,calib_b,n_train_used,n_test_used,last_added_feature
62,20,0.7704177770876999,0.8813018532569682,1.062365863246928e-05,1.0564075883313895,-0.7064452499543415,120,25,thetao W10p0 EOF2 lag6
63,20,0.770064072262265,0.881135035346993,-0.00035370482543484183,1.0564878113647234,-0.7074499584077923,120,25,so W30p0 EOF1 lag2
64,20,0.7697279615890614,0.8809775204635748,-0.00033611067320360455,1.05651898849641,-0.7078404189333946,120,25,thetao W10p0 EOF2 lag2
65,20,0.7699736145580242,0.8810741318305191,0.0002456529689627285,1.0565539981769176,-0.7082788780703367,120,25,thetao W10p0 EOF2 lag10
66,20,0.7695050497265918,0.8808874204747654,-0.00046856483143231653,1.0565483252770873,-0.7082078310134224,120,25,thetao W10p0 EOF2 lag9
67,20,0.7694273830117333,0.880850405050929,-7.766671485853749e-05,1.056551562567129,-0.7082483746395604,120,25,so W20p0 EOF10 lag18
68,20,0.7693116019997347,0.8807945378759061,-0.0001157810119986058,1.0565499986564684,-0.7082287883163307,120,25,so W10p0 EOF5 lag14
69,20,0.7689480586062158,0.8806427092245217,-0.00036354339351885034,1.056553871730372,-0.7082772944613818,120,25,thetao W10p0 EOF2 lag8
70,20,0.7678575773271102,0.8800736285855074,-0.001090481279105604,1.055571068297251,-0.6959687232654651,120,25,so W60p0 EOF1 lag12
71,20,0.7666361133802659,0.8795028872134144,-0.0012214639468443034,1.0556277821841344,-0.6966790045800987,120,25,so W20p0 EOF10 lag17
72,20,0.7665606109012824,0.879469916252244,-7.550247898358009e-05,1.0556238227760246,-0.6966294171906194,120,25,thetao W10p0 EOF2 lag7
73,20,0.7520457573689633,0.8726273224869158,-0.014514853532319072,1.0550435288871096,-0.6893618513625485,120,25,so W30p0 EOF5 lag17
74,20,0.7489367388690145,0.871193622397304,-0.0031090184999488235,1.0553117018386085,-0.6927204333079291,120,25,thetao W20p0 EOF3 lag15
75,20,0.7494680523413663,0.8714550210196879,0.000531313472351802,1.0554515616565523,-0.6944720292716784,120,25,so W30p0 EOF1 lag6
76,20,0.7543016954510162,0.8737706932358917,0.004833643109649954,1.0552542635220663,-0.6920010792797466,120,25,so W30p0 EOF1 lag1
77,20,0.7538984912521839,0.8735736714565964,-0.00040320419883232983,1.0552518653544793,-0.6919710447728595,120,25,thetao W10p0 EOF1 lag6
78,20,0.7683847220815813,0.8808893139770791,0.014486230829397373,1.0559804133753155,-0.7010953364489991,120,25,so W20p0 EOF4 lag3
79,20,0.7676961371849971,0.8805789010053064,-0.0006885848965841879,1.056168438317651,-0.7034501495391418,120,25,thetao W10p0 EOF1 lag13
80,20,0.7834503254939713,0.8880277332310125,0.015754188308974237,1.0578589210921763,-0.7246216543228022,120,25,so W30p0 EOF9 lag13
81,20,0.7835069296376966,0.88801914895111,5.6604143725325073e-05,1.0578295461407845,-0.7242537641950301,120,25,thetao W40p0 EOF3 lag12
82,20,0.7776159432321071,0.8853897300217185,-0.005890986405589493,1.0578508216480074,-0.724520217370257,120,25,so W30p0 EOF1 lag8
83,20,0.7773267865201599,0.8852584079849396,-0.00028915671194729153,1.057900912645564,-0.7251475540165555,120,25,thetao W10p0 EOF1 lag5
84,20,0.777502492079525,0.8853410225071083,0.00017570555936519128,1.0579072766292514,-0.7252272561662088,120,25,thetao W10p0 EOF2 lag1
85,20,0.777890075053963,0.8855785226141107,0.0003875829744379722,1.0579908446649209,-0.7262738572281082,120,25,thetao W10p0 EOF1 lag1
86,20,0.7771039343403886,0.8852027665650556,-0.0007861407135744125,1.0581370704389754,-0.7281051800440183,120,25,thetao W10p0 EOF1 lag11
87,20,0.7026927062610496,0.8484888896138396,-0.07441122807933898,1.0560687319248458,-0.7022014326612996,120,25,thetao W10p0 EOF8 lag3
88,20,0.7021447596864453,0.8482244406319579,-0.0005479465746043299,1.056168618767222,-0.7034524094787288,120,25,thetao W10p0 EOF1 lag4
89,20,0.7008879299001429,0.847600538349504,-0.0012568297863023714,1.0562999367551014,-0.705097028075534,120,25,thetao W10p0 EOF1 lag7
90,20,0.6506421862255876,0.8234390775739227,-0.050245743674555365,1.0576956619202493,-0.7225770062544979,120,25,thetao W30p0 EOF8 lag13
91,20,0.6446422335536695,0.8212744746599204,-0.005999952671918107,1.0590906536135887,-0.7400477984765652,120,25,so W40p0 EOF3 lag2
92,20,0.6389856706836012,0.8187586924754464,-0.005656562870068216,1.059038706741432,-0.7393972189681923,120,25,thetao W30p0 EOF4 lag18
93,20,0.6395415361109583,0.8190240644039842,0.0005558654273570829,1.0590419936539652,-0.7394383840634348,120,25,thetao W10p0 EOF1 lag2
94,20,0.6365294360144536,0.8176139862728686,-0.003012100096504766,1.059081056552832,-0.7399276054637806,120,25,so W20p0 EOF10 lag19
95,20,0.6354753999331281,0.817091622361057,-0.0010540360813254823,1.0591487453699984,-0.7407753361464174,120,25,so W30p0 EOF9 lag20
96,20,0.6357594367476411,0.8172274312515212,0.0002840368145130556,1.0592071300957533,-0.7415065429467768,120,25,thetao W10p0 EOF1 lag3
97,20,0.5723117067852956,0.7860188427983857,-0.06344772996234549,1.0574159255641837,-0.7190736049245042,120,25,thetao W10p0 EOF8 lag2
