rank,feature_index,feature,coef_std,abscoef_std,cluster_root,cluster_size
257,358,so W20p0 EOF9 lag3,-0.01543277234853929,0.01543277234853929,358,1
258,363,so W10p0 EOF4 lag0,-0.015336748644910313,0.015336748644910313,363,1
259,389,so W10p0 EOF10 lag2,0.015315462378548719,0.015315462378548719,389,1
260,139,thetao W20p0 EOF10 lag1,-0.014999259607599893,0.014999259607599893,139,1
261,205,so W60p0 EOF6 lag0,0.014970223469499859,0.014970223469499859,205,1
262,147,thetao W20p0 EOF8 lag2,-0.014964280761135281,0.014964280761135281,147,1
263,99,thetao W30p0 EOF10 lag1,-0.014933265062800708,0.014933265062800708,99,1
264,89,thetao W30p0 EOF10 lag0,-0.014908610842238027,0.014908610842238027,89,1
265,16,thetao W60p0 EOF7 lag1,0.014820742538257421,0.014820742538257421,16,1
266,116,thetao W30p0 EOF7 lag3,-0.014762664197652804,0.014762664197652804,116,1
267,64,thetao W40p0 EOF5 lag2,0.014516520819017118,0.014516520819017118,64,1
268,185,thetao W10p0 EOF6 lag2,0.014472490613838235,0.014472490613838235,185,1
269,81,thetao W30p0 EOF2 lag0,-0.014379079221087348,0.014379079221087348,81,1
270,314,so W30p0 EOF5 lag3,0.014293739991823222,0.014293739991823222,314,1
271,388,so W10p0 EOF9 lag2,0.014280134814833315,0.014280134814833315,388,1
272,349,so W20p0 EOF10 lag2,0.014261925562387435,0.014261925562387435,349,1
273,339,so W20p0 EOF10 lag1,0.014071471240155377,0.014071471240155377,339,1
274,133,thetao W20p0 EOF4 lag1,-0.01400949461213529,0.01400949461213529,133,1
275,356,so W20p0 EOF7 lag3,0.013800189390477773,0.013800189390477773,356,1
276,136,thetao W20p0 EOF7 lag1,-0.01368505101123786,0.01368505101123786,136,1
277,275,so W40p0 EOF6 lag3,0.013685010179834473,0.013685010179834473,275,1
278,101,thetao W30p0 EOF2 lag2,-0.013397362576749795,0.013397362576749795,101,1
279,320,so W20p0 EOF1 lag0,0.013245988282207731,0.013245988282207731,320,1
280,179,thetao W10p0 EOF10 lag1,-0.013155862343271848,0.013155862343271848,179,1
281,346,so W20p0 EOF7 lag2,0.013118621551013598,0.013118621551013598,346,1
282,337,so W20p0 EOF8 lag1,0.013055448538316488,0.013055448538316488,337,1
283,258,so W40p0 EOF9 lag1,-0.013031603467516237,0.013031603467516237,258,1
284,145,thetao W20p0 EOF6 lag2,-0.012986925136868702,0.012986925136868702,145,1
285,171,thetao W10p0 EOF2 lag1,-0.012929376422788857,0.012929376422788857,171,1
286,38,thetao W60p0 EOF9 lag3,0.012824222838040699,0.012824222838040699,38,1
287,194,thetao W10p0 EOF5 lag3,0.01249852100953791,0.01249852100953791,194,1
288,383,so W10p0 EOF4 lag2,-0.012468653867022063,0.012468653867022063,383,1
289,335,so W20p0 EOF6 lag1,-0.012302871239495214,0.012302871239495214,335,1
290,280,so W30p0 EOF1 lag0,-0.012100879461265581,0.012100879461265581,280,1
291,324,so W20p0 EOF5 lag0,0.011975474604644883,0.011975474604644883,324,1
292,221,so W60p0 EOF2 lag2,0.01192598922984639,0.01192598922984639,221,1
293,263,so W40p0 EOF4 lag2,-0.011861220547533401,0.011861220547533401,263,1
294,262,so W40p0 EOF3 lag2,-0.011801979316807282,0.011801979316807282,262,1
295,245,so W40p0 EOF6 lag0,0.0116752305606508,0.0116752305606508,245,1
296,24,thetao W60p0 EOF5 lag2,-0.01139391006273966,0.01139391006273966,24,1
297,34,thetao W60p0 EOF5 lag3,-0.011220274966825011,0.011220274966825011,34,1
298,198,thetao W10p0 EOF9 lag3,0.01110927928288534,0.01110927928288534,198,1
299,279,so W40p0 EOF10 lag3,0.011043940586355798,0.011043940586355798,279,1
300,117,thetao W30p0 EOF8 lag3,0.011030787532630773,0.011030787532630773,117,1
301,91,thetao W30p0 EOF2 lag1,0.010994357252348983,0.010994357252348983,91,1
302,9,thetao W60p0 EOF10 lag0,-0.010868588535252542,0.010868588535252542,9,1
303,306,so W30p0 EOF7 lag2,0.010671385682489239,0.010671385682489239,306,1
304,68,thetao W40p0 EOF9 lag2,0.010535881576215066,0.010535881576215066,68,1
305,322,so W20p0 EOF3 lag0,-0.010326924545281307,0.010326924545281307,322,1
306,378,so W10p0 EOF9 lag1,0.010023399000506769,0.010023399000506769,378,1
307,396,so W10p0 EOF7 lag3,-0.009997080616042427,0.009997080616042427,396,1
308,156,thetao W20p0 EOF7 lag3,0.009842483451053442,0.009842483451053442,156,1
309,79,thetao W40p0 EOF10 lag3,0.009582554828750499,0.009582554828750499,79,1
310,305,so W30p0 EOF6 lag2,0.009567826597856705,0.009567826597856705,305,1
311,235,so W60p0 EOF6 lag3,-0.009561655342617775,0.009561655342617775,235,1
312,212,so W60p0 EOF3 lag1,-0.009535219381099507,0.009535219381099507,212,1
313,183,thetao W10p0 EOF4 lag2,-0.009399336205803814,0.009399336205803814,183,1
314,17,thetao W60p0 EOF8 lag1,-0.009043141389448655,0.009043141389448655,17,1
315,309,so W30p0 EOF10 lag2,0.008916719392511999,0.008916719392511999,309,1
316,289,so W30p0 EOF10 lag0,-0.008872872081667326,0.008872872081667326,289,1
317,129,thetao W20p0 EOF10 lag0,-0.008799828746776744,0.008799828746776744,129,1
318,328,so W20p0 EOF9 lag0,0.008444311438288086,0.008444311438288086,328,1
319,333,so W20p0 EOF4 lag1,-0.00843423488961029,0.00843423488961029,333,1
320,37,thetao W60p0 EOF8 lag3,-0.008172499313377223,0.008172499313377223,37,1
321,376,so W10p0 EOF7 lag1,0.008098554686137143,0.008098554686137143,376,1
322,343,so W20p0 EOF4 lag2,-0.008092118831448161,0.008092118831448161,343,1
323,125,thetao W20p0 EOF6 lag0,-0.007844496342222219,0.007844496342222219,125,1
324,382,so W10p0 EOF3 lag2,-0.007658714668923392,0.007658714668923392,382,1
