var,lon,mode,lag,corr,abs_corr
thetao,W20p0,3,3,0.2612409356834997,0.2612409356834997
so,W60p0,9,1,-0.2606206237703787,0.2606206237703787
so,W10p0,9,6,-0.2605171573295437,0.2605171573295437
so,W30p0,2,4,0.2603787987124047,0.2603787987124047
thetao,W20p0,5,8,-0.2588216254407451,0.2588216254407451
so,W40p0,3,10,-0.2586150982296029,0.2586150982296029
so,W60p0,2,10,-0.2583700959168545,0.2583700959168545
so,W30p0,2,11,0.25812762723981403,0.25812762723981403
so,W20p0,2,3,0.2564002979613941,0.2564002979613941
so,W10p0,9,7,-0.2562630885303572,0.2562630885303572
so,W20p0,4,8,0.25549517435998664,0.25549517435998664
thetao,W30p0,8,14,0.2547668434738013,0.2547668434738013
so,W40p0,10,4,-0.2536165233695134,0.2536165233695134
thetao,W30p0,5,2,-0.25262892083560823,0.25262892083560823
