var,mode,lag,corr,abs_corr
thetao,10,11,-0.11942423582294902,0.11942423582294902
so,3,10,-0.11928922993662269,0.11928922993662269
so,5,0,0.11632066478467867,0.11632066478467867
thetao,8,16,-0.11599301828668972,0.11599301828668972
so,3,9,-0.11378954957163873,0.11378954957163873
thetao,10,8,-0.11362928293259206,0.11362928293259206
thetao,10,15,-0.11099017654135006,0.11099017654135006
thetao,5,16,0.11040614010057238,0.11040614010057238
so,5,18,0.10666519428866447,0.10666519428866447
thetao,10,9,-0.10486919295001354,0.10486919295001354
so,5,13,0.10485162627553576,0.10485162627553576
so,5,11,0.10075422070985453,0.10075422070985453
thetao,10,0,0.10017926198146423,0.10017926198146423
so,3,7,-0.09869741488992805,0.09869741488992805
thetao,5,17,0.09642430841791319,0.09642430841791319
thetao,9,0,-0.09131983582320727,0.09131983582320727
so,5,14,0.08669005447516981,0.08669005447516981
so,5,19,0.08017493477995849,0.08017493477995849
thetao,9,6,0.07319113966074842,0.07319113966074842
so,5,17,0.07307917696902673,0.07307917696902673
thetao,10,7,-0.07132881911898983,0.07132881911898983
thetao,10,2,0.07086208966539902,0.07086208966539902
so,5,7,0.06991475026420502,0.06991475026420502
so,5,16,0.06518920402281962,0.06518920402281962
thetao,10,1,0.06379400916151931,0.06379400916151931
so,5,12,0.06373356915201302,0.06373356915201302
thetao,9,1,-0.06302696157437282,0.06302696157437282
thetao,10,12,-0.05922147916698747,0.05922147916698747
thetao,9,5,0.0589708958251366,0.0589708958251366
thetao,10,6,-0.0588947121356748,0.0588947121356748
thetao,8,18,-0.05741837899119073,0.05741837899119073
thetao,9,2,0.054598842060876944,0.054598842060876944
thetao,10,3,-0.04666407612937261,0.04666407612937261
so,5,10,0.04594834618753583,0.04594834618753583
thetao,10,5,-0.03339264757981537,0.03339264757981537
thetao,8,19,-0.03285535576864613,0.03285535576864613
thetao,8,20,-0.02796108868764231,0.02796108868764231
thetao,10,13,-0.026023304038191822,0.026023304038191822
thetao,10,4,-0.02573760690391451,0.02573760690391451
thetao,10,14,-0.02379353030451567,0.02379353030451567
thetao,9,3,0.019153548667710192,0.019153548667710192
thetao,9,4,0.003807103579903661,0.003807103579903661
