var,lon,mode0,mode,lag,corr,abs_corr
thetao,W20p0,1,2,10,-0.5964673893755151,0.5964673893755151
thetao,W60p0,2,3,8,0.5963109512557371,0.5963109512557371
so,W10p0,3,4,2,0.5959378818975528,0.5959378818975528
so,W30p0,1,2,12,-0.5957298417875188,0.5957298417875188
so,W20p0,9,10,25,-0.5953285991673594,0.5953285991673594
thetao,W40p0,1,2,16,-0.5951928426057285,0.5951928426057285
thetao,W60p0,1,2,3,-0.5951001805106599,0.5951001805106599
thetao,W20p0,8,9,2,-0.5950969835778258,0.5950969835778258
thetao,W60p0,9,10,10,-0.5949990800155818,0.5949990800155818
thetao,W20p0,1,2,11,-0.5949480890142466,0.5949480890142466
thetao,W60p0,8,9,25,-0.594631024406027,0.594631024406027
thetao,W40p0,2,3,3,-0.5944841304473032,0.5944841304473032
thetao,W20p0,1,2,2,-0.5944619265828476,0.5944619265828476
thetao,W10p0,2,3,12,0.5943560833483754,0.5943560833483754
thetao,W60p0,0,1,24,-0.5943193638067104,0.5943193638067104
so,W30p0,8,9,11,0.5940376559208793,0.5940376559208793
so,W10p0,8,9,19,0.5938579065894186,0.5938579065894186
so,W10p0,3,4,16,0.5938107268858268,0.5938107268858268
so,W30p0,4,5,7,0.5934467034883829,0.5934467034883829
so,W10p0,8,9,23,0.5933470399583639,0.5933470399583639
so,W20p0,8,9,16,0.593214657100283,0.593214657100283
so,W20p0,2,3,11,0.5931810238329278,0.5931810238329278
thetao,W20p0,1,2,18,-0.5931137320813933,0.5931137320813933
thetao,W10p0,8,9,4,-0.592947569260457,0.592947569260457
so,W20p0,9,10,24,-0.5927665131962536,0.5927665131962536
thetao,W60p0,1,2,10,-0.5927270049988406,0.5927270049988406
thetao,W20p0,2,3,11,-0.5925077446856821,0.5925077446856821
so,W30p0,8,9,3,0.5923557253038437,0.5923557253038437
thetao,W60p0,0,1,25,-0.5922593804956844,0.5922593804956844
so,W10p0,3,4,19,0.5919833845673054,0.5919833845673054
thetao,W40p0,1,2,17,-0.5919789500014703,0.5919789500014703
thetao,W30p0,2,3,20,0.591575345984744,0.591575345984744
so,W30p0,1,2,6,-0.5914420261424342,0.5914420261424342
so,W20p0,8,9,18,0.5913998395139024,0.5913998395139024
thetao,W40p0,1,2,11,-0.5913280807331976,0.5913280807331976
thetao,W40p0,6,7,21,0.5911652734176631,0.5911652734176631
thetao,W40p0,1,2,14,-0.5909775081244815,0.5909775081244815
thetao,W20p0,4,5,14,0.5901874531184057,0.5901874531184057
thetao,W40p0,2,3,6,-0.5900410990779795,0.5900410990779795
thetao,W60p0,0,1,23,-0.5898224726156998,0.5898224726156998
thetao,W60p0,1,2,11,-0.5897357498696694,0.5897357498696694
so,W40p0,3,4,8,-0.5895895283416088,0.5895895283416088
thetao,W30p0,2,3,21,0.5894439537226682,0.5894439537226682
thetao,W20p0,1,2,19,-0.5892848099351166,0.5892848099351166
so,W60p0,1,2,14,-0.5892832655957808,0.5892832655957808
so,W30p0,1,2,11,-0.5892318773490434,0.5892318773490434
thetao,W40p0,1,2,13,-0.5891467983502906,0.5891467983502906
thetao,W60p0,9,10,3,-0.5891037063463562,0.5891037063463562
thetao,W40p0,6,7,16,0.5889426301976153,0.5889426301976153
thetao,W30p0,3,4,6,0.5883927432681838,0.5883927432681838
thetao,W20p0,1,2,15,-0.5883475812774386,0.5883475812774386
so,W30p0,4,5,18,0.588173204290807,0.588173204290807
thetao,W20p0,1,2,22,-0.5881303942848751,0.5881303942848751
so,W10p0,7,8,9,-0.5880778373801512,0.5880778373801512
thetao,W20p0,2,3,10,-0.5880419091309441,0.5880419091309441
thetao,W20p0,1,2,4,-0.5874539257244203,0.5874539257244203
thetao,W10p0,3,4,19,0.5871375419661266,0.5871375419661266
thetao,W60p0,9,10,15,-0.5871354653480491,0.5871354653480491
thetao,W10p0,8,9,0,-0.5868978754788904,0.5868978754788904
so,W60p0,8,9,22,0.5868248894093115,0.5868248894093115
thetao,W10p0,3,4,20,0.586581886187737,0.586581886187737
so,W10p0,3,4,3,0.5865338987474275,0.5865338987474275
thetao,W10p0,1,2,22,-0.5855424807868591,0.5855424807868591
thetao,W40p0,2,3,24,-0.5851482420315143,0.5851482420315143
thetao,W20p0,1,2,16,-0.5851204725988522,0.5851204725988522
so,W20p0,9,10,7,-0.5846374524376303,0.5846374524376303
thetao,W60p0,9,10,9,-0.584416545936244,0.584416545936244
thetao,W10p0,3,4,18,0.5843582791783963,0.5843582791783963
so,W60p0,0,1,8,0.5842853780375344,0.5842853780375344
so,W10p0,8,9,21,0.5841728307737494,0.5841728307737494
thetao,W30p0,3,4,5,0.5841380318106212,0.5841380318106212
thetao,W60p0,9,10,4,-0.5837945952759385,0.5837945952759385
so,W40p0,2,3,6,-0.5834058543829622,0.5834058543829622
thetao,W40p0,3,4,15,0.5830827428790426,0.5830827428790426
thetao,W30p0,8,9,3,-0.5830763199873009,0.5830763199873009
so,W60p0,8,9,21,0.5829448460905337,0.5829448460905337
thetao,W20p0,1,2,12,-0.5824473935697131,0.5824473935697131
thetao,W40p0,2,3,23,-0.5823292063528772,0.5823292063528772
thetao,W60p0,2,3,10,0.5823262825284159,0.5823262825284159
thetao,W20p0,8,9,4,-0.5817486786892131,0.5817486786892131
so,W30p0,4,5,4,0.5817318218850068,0.5817318218850068
