var,lon,mode0,lag,corr,abs_corr
thetao,W60p0,5,9,0.24518990190495785,0.24518990190495785
thetao,W40p0,8,11,-0.24513105154177225,0.24513105154177225
so,W20p0,9,6,-0.24486755644817404,0.24486755644817404
thetao,W10p0,3,24,0.24476533439326648,0.24476533439326648
so,W40p0,3,15,-0.24451932651808328,0.24451932651808328
thetao,W10p0,1,6,-0.24430649265829463,0.24430649265829463
thetao,W20p0,9,9,-0.24429818138912013,0.24429818138912013
so,W30p0,2,20,-0.2438187169975439,0.2438187169975439
so,W30p0,2,21,-0.24343736805106161,0.24343736805106161
so,W20p0,9,3,-0.24254087640976477,0.24254087640976477
thetao,W10p0,2,9,0.24249381722631713,0.24249381722631713
thetao,W60p0,5,4,0.24242446582944485,0.24242446582944485
so,W60p0,0,23,-0.2419547412038576,0.2419547412038576
thetao,W40p0,4,17,0.24181743784588025,0.24181743784588025
thetao,W10p0,2,10,0.24144872197011463,0.24144872197011463
thetao,W10p0,2,17,0.24134622381337856,0.24134622381337856
thetao,W10p0,8,18,0.24104614336564648,0.24104614336564648
so,W20p0,5,14,-0.24040013303454386,0.24040013303454386
so,W10p0,1,6,0.24025163369458893,0.24025163369458893
thetao,W10p0,7,4,-0.23999808949306495,0.23999808949306495
thetao,W10p0,2,13,0.2385706613518203,0.2385706613518203
thetao,W30p0,6,25,-0.23797512141773036,0.23797512141773036
so,W30p0,5,16,-0.23788615330498966,0.23788615330498966
so,W20p0,6,17,0.23701379294547748,0.23701379294547748
thetao,W60p0,6,7,0.23699896754341426,0.23699896754341426
so,W40p0,8,11,0.23696359507115256,0.23696359507115256
thetao,W30p0,6,2,0.23690937658268238,0.23690937658268238
so,W10p0,2,17,-0.23665879125471825,0.23665879125471825
so,W30p0,1,13,-0.23657412827779414,0.23657412827779414
thetao,W20p0,5,20,0.23639440886970803,0.23639440886970803
so,W40p0,8,17,0.23589686988062677,0.23589686988062677
so,W10p0,7,17,-0.2358655604666999,0.2358655604666999
thetao,W10p0,2,8,0.23543175202889674,0.23543175202889674
thetao,W30p0,2,25,0.23510675044157625,0.23510675044157625
so,W40p0,7,21,-0.234897227117094,0.234897227117094
thetao,W30p0,9,3,-0.2347601646230561,0.2347601646230561
so,W10p0,9,15,-0.23467704895386737,0.23467704895386737
thetao,W60p0,9,8,-0.23467182622169608,0.23467182622169608
thetao,W20p0,7,1,0.2346358469187991,0.2346358469187991
thetao,W20p0,8,9,-0.23448347166215558,0.23448347166215558
thetao,W40p0,5,14,0.23441069795068964,0.23441069795068964
so,W10p0,6,23,0.2343402806801745,0.2343402806801745
thetao,W10p0,2,12,0.23402859195645254,0.23402859195645254
thetao,W30p0,6,23,-0.23396750338074243,0.23396750338074243
so,W30p0,2,15,-0.2337421581460502,0.2337421581460502
thetao,W10p0,2,7,0.23339499133889266,0.23339499133889266
so,W10p0,1,7,0.23329686316495235,0.23329686316495235
so,W10p0,8,10,0.23300993053650515,0.23300993053650515
so,W40p0,8,15,0.232985309032839,0.232985309032839
so,W30p0,3,8,-0.23281594680407602,0.23281594680407602
thetao,W10p0,2,11,0.23276379092133562,0.23276379092133562
thetao,W20p0,5,9,-0.23268109543265866,0.23268109543265866
so,W60p0,5,10,0.23246984717306168,0.23246984717306168
thetao,W60p0,6,25,0.23213788761823326,0.23213788761823326
thetao,W60p0,9,24,0.23195015693985688,0.23195015693985688
so,W60p0,4,23,0.23176225314880772,0.23176225314880772
so,W10p0,1,0,0.23155833046553756,0.23155833046553756
thetao,W20p0,3,20,0.23136938499383847,0.23136938499383847
so,W60p0,5,11,0.2311674813725309,0.2311674813725309
so,W20p0,9,7,-0.23067593252696092,0.23067593252696092
thetao,W20p0,8,14,-0.23039007280845392,0.23039007280845392
thetao,W20p0,8,16,-0.23007178702674877,0.23007178702674877
thetao,W60p0,6,24,0.2300241047872594,0.2300241047872594
thetao,W20p0,3,17,0.23002317759711383,0.23002317759711383
thetao,W20p0,9,24,0.2299742932033847,0.2299742932033847
so,W30p0,7,1,-0.22994773921834413,0.22994773921834413
thetao,W60p0,5,10,0.2294395966955471,0.2294395966955471
thetao,W20p0,8,12,-0.22925065312797355,0.22925065312797355
so,W60p0,1,24,-0.22912427484072917,0.22912427484072917
thetao,W20p0,3,21,0.22878394116487932,0.22878394116487932
thetao,W20p0,4,15,0.22850123666445252,0.22850123666445252
so,W20p0,6,7,-0.22814234517740545,0.22814234517740545
so,W30p0,0,9,0.22799501836101702,0.22799501836101702
thetao,W20p0,5,18,0.2277569510138882,0.2277569510138882
so,W60p0,7,4,-0.2272834250907942,0.2272834250907942
thetao,W10p0,1,7,-0.22701262737553116,0.22701262737553116
thetao,W10p0,6,12,-0.2269133154083834,0.2269133154083834
thetao,W10p0,7,18,0.22672709438245098,0.22672709438245098
thetao,W30p0,8,8,-0.22642807234933848,0.22642807234933848
thetao,W30p0,3,10,0.2262077177523366,0.2262077177523366
thetao,W10p0,5,11,-0.22597313120665186,0.22597313120665186
so,W10p0,1,8,0.22560340726488656,0.22560340726488656
so,W40p0,8,20,0.2253970883005702,0.2253970883005702
so,W10p0,1,13,0.22531137114483105,0.22531137114483105
