var,lon,mode0,mode,lag,corr,abs_corr
thetao,W40p0,7,8,17,-0.23755931238824102,0.23755931238824102
thetao,W30p0,9,10,6,-0.2369280760884568,0.2369280760884568
thetao,W30p0,1,2,9,0.23649403873724886,0.23649403873724886
so,W40p0,8,9,20,0.23516804551381326,0.23516804551381326
thetao,W30p0,1,2,11,0.23481782441512403,0.23481782441512403
thetao,W60p0,6,7,25,0.2340738364667118,0.2340738364667118
thetao,W60p0,1,2,1,-0.23405673760989454,0.23405673760989454
so,W40p0,8,9,25,0.2339933577028815,0.2339933577028815
thetao,W20p0,9,10,25,0.2336480368529395,0.2336480368529395
thetao,W20p0,9,10,18,0.23357861343021563,0.23357861343021563
thetao,W30p0,1,2,12,0.23350168045095177,0.23350168045095177
thetao,W40p0,7,8,22,-0.2334884120468889,0.2334884120468889
so,W20p0,2,3,6,0.2334503475765438,0.2334503475765438
so,W10p0,1,2,15,0.2331692146666057,0.2331692146666057
thetao,W30p0,1,2,2,0.23311434003652243,0.23311434003652243
thetao,W40p0,3,4,17,0.23302434229615968,0.23302434229615968
thetao,W30p0,8,9,19,-0.23237269853285883,0.23237269853285883
thetao,W40p0,6,7,11,0.23233776243448745,0.23233776243448745
so,W60p0,3,4,3,-0.2323074502832528,0.2323074502832528
so,W20p0,6,7,6,-0.23219740888571055,0.23219740888571055
so,W40p0,2,3,1,-0.23219168600134124,0.23219168600134124
thetao,W20p0,8,9,5,-0.2313519864110433,0.2313519864110433
so,W30p0,3,4,9,-0.23072623989405439,0.23072623989405439
so,W40p0,5,6,9,0.23066712876958778,0.23066712876958778
thetao,W60p0,9,10,8,-0.23007460993157425,0.23007460993157425
so,W20p0,9,10,19,-0.22945054932019643,0.22945054932019643
thetao,W10p0,4,5,22,-0.22917754767499565,0.22917754767499565
thetao,W30p0,5,6,21,0.2288158850418319,0.2288158850418319
so,W10p0,9,10,15,-0.22856051342424116,0.22856051342424116
so,W30p0,0,1,10,0.2284560672639157,0.2284560672639157
thetao,W40p0,4,5,17,0.2284252886504902,0.2284252886504902
thetao,W20p0,4,5,14,0.2283308326429964,0.2283308326429964
thetao,W20p0,5,6,20,0.22807987774221922,0.22807987774221922
thetao,W10p0,8,9,17,0.22779013476495316,0.22779013476495316
thetao,W60p0,5,6,4,0.22759182622707336,0.22759182622707336
thetao,W60p0,2,3,8,0.22726232121413775,0.22726232121413775
thetao,W60p0,5,6,8,0.22718532252368653,0.22718532252368653
so,W20p0,4,5,4,0.22717942314203657,0.22717942314203657
thetao,W40p0,3,4,2,-0.226967064282273,0.226967064282273
so,W60p0,5,6,19,-0.22664644172595025,0.22664644172595025
thetao,W20p0,3,4,18,0.22610888777502594,0.22610888777502594
thetao,W60p0,7,8,6,-0.22594438044007906,0.22594438044007906
so,W40p0,8,9,19,0.22566210978928095,0.22566210978928095
thetao,W30p0,4,5,19,0.22527321602610711,0.22527321602610711
so,W60p0,5,6,7,0.22524916108447476,0.22524916108447476
so,W40p0,4,5,1,0.22469903557847304,0.22469903557847304
thetao,W30p0,7,8,22,-0.22439060661645463,0.22439060661645463
thetao,W40p0,4,5,6,-0.22417641071971872,0.22417641071971872
so,W20p0,6,7,24,-0.22393711207684708,0.22393711207684708
thetao,W10p0,5,6,2,-0.22302649793482396,0.22302649793482396
so,W10p0,2,3,11,-0.22266871495415003,0.22266871495415003
